Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1800,80,2,1,2,800,130,Andaraí, Rio de Janeiro,norte
680,26,0,0,1,0,0,Encantado,Rio de Janeiro,norte
1400,70,2,1,2,200,0,Água Santa,Rio de Janeiro,norte
2500,140,4,1,3,272,379,Vargem Pequena,Rio de Janeiro,oeste
1200,42,1,1,1,390,62,Irajá,Rio de Janeiro,norte
4100,179,4,2,2,2184,1267,Lagoa, Rio de Janeiro,sul
8000,110,2,2,3,1490,580,Ipanema,Rio de Janeiro,sul
6000,100,3,1,2,1500,250,São Conrado,Rio de Janeiro,sul
1100,54,1,0,1,0,0,Pilares,Rio de Janeiro,norte
1000,65,2,0,2,573,0,Engenho Novo,Rio de Janeiro,norte
770,44,2,0,1,220,0,Guaratiba,Rio de Janeiro,oeste
1500,60,2,0,1,0,0,Cachambi,Rio de Janeiro,norte
1000,40,2,0,1,288,48,Madureira,Rio de Janeiro,norte
1000,50,2,1,1,284,0,Campinho,Rio de Janeiro,norte
1310,80,2,1,2,453,0,Piedade,Rio de Janeiro,norte
1350,55,1,0,1,600,90,Andaraí,Rio de Janeiro,norte
2800,74,3,1,3,1254,175,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1000,72,2,0,1,200,0,Penha Circular,Rio de Janeiro,norte
1300,45,2,1,1,0,0,Campo Grande,Rio de Janeiro,oeste
660,40,1,0,1,0,0,Cordovil,Rio de Janeiro,norte
3000,70,2,1,1,0,0,Pechincha,Rio de Janeiro,oeste
1100,58,2,1,2,510,1003,Jacarepaguá,Rio de Janeiro,oeste
1300,47,2,0,1,300,0,Bonsucesso,Rio de Janeiro,norte
1200,50,1,0,1,0,54,Cachambi,Rio de Janeiro,norte
3500,290,4,2,4,150,0,Guaratiba,Rio de Janeiro,oeste
950,70,2,0,1,235,0,Penha,Rio de Janeiro,norte
3200,110,3,1,2,1715,100,Tijuca,Rio de Janeiro,norte
700,42,1,0,1,250,0,Parada de Lucas,Rio de Janeiro,norte
3700,90,3,1,2,1600,170,Jacarepaguá,Rio de Janeiro,oeste
990,48,2,1,1,350,0,Praia da Bandeira,Rio de Janeiro,norte
3400,75,2,1,2,1026,248,Jardim Botânico,Rio de Janeiro,sul
2200,66,2,2,2,840,117,Jacarepaguá,Rio de Janeiro,oeste
1800,89,2,1,1,932,118,Méier,Rio de Janeiro,norte
750,30,1,0,1,250,0,Cascadura,Rio de Janeiro,norte
1000,42,1,0,1,0,0,Brás de Pina,Rio de Janeiro,norte
4200,110,2,2,2,1150,300,São Conrado,Rio de Janeiro,sul
1450,58,2,0,2,768,60,Engenho De Dentro,Rio de Janeiro,norte
1000,97,2,1,2,800,130,Vila Isabel,Rio de Janeiro,norte
2900,212,3,2,4,250,185,Méier,Rio de Janeiro,norte
9750,150,3,1,3,3100,833,Ipanema,Rio de Janeiro,sul
900,50,1,0,2,344,0,Catumbi,Rio de Janeiro,centro
1180,85,2,0,1,0,30,Cascadura,Rio de Janeiro,norte
1800,40,2,2,2,1043,42,Barra da Tijuca,Rio de Janeiro,oeste
1000,70,2,0,1,290,67,Méier,Rio de Janeiro,norte
900,76,2,1,2,606,0,Rocha,Rio de Janeiro,norte
5800,71,2,1,2,926,279,Leblon,Rio de Janeiro,sul
1900,48,2,0,2,500,0,Irajá,Rio de Janeiro,norte
2250,190,2,0,3,0,0,Cachambi,Rio de Janeiro,norte
1500,80,3,0,1,280,15,Engenho Novo,Rio de Janeiro,norte
800,84,3,1,1,180,0,Madureira,Rio de Janeiro,norte
1200,55,2,0,1,315,0,Freguesia,Rio de Janeiro,norte
1000,55,2,1,1,290,0,Santa Cruz,Rio de Janeiro,oeste
