Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1199,55,2,1,2,370,0,Senador Camará,Rio de Janeiro,oeste
1600,126,2,1,1,1145,186,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
5500,93,3,2,2,1300,350,Barra da Tijuca,Rio de Janeiro,oeste
1000,32,0,1,1,500,350,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
900,55,2,1,1,200,10,Colégio,Rio de Janeiro,norte
1200,90,3,0,1,0,0,Realengo,Rio de Janeiro,oeste
1190,55,2,0,1,877,0,Rio Comprido,Rio de Janeiro,centro
1360,50,2,2,1,50,0,Vargem Grande,Rio de Janeiro,oeste
1100,60,2,1,1,0,0,Inhoaíba,Rio de Janeiro,oeste
1450,130,2,2,1,805,85,Itanhangá,Rio de Janeiro,oeste
1400,81,2,1,1,135,0,Inhaúma,Rio de Janeiro,norte
1000,70,2,0,1,290,67,Méier,Rio de Janeiro,norte
2699,98,4,2,2,750,197,Jacarepaguá,Rio de Janeiro,oeste
900,50,2,1,1,230,0,Irajá,Rio de Janeiro,norte
700,42,1,0,1,250,0,Parada de Lucas,Rio de Janeiro,norte
1400,68,2,0,2,758,0,Rio Comprido,Rio de Janeiro,centro
1400,58,2,2,1,395,0,Pitangueiras, Rio de Janeiro,norte
1200,67,3,1,1,700,0,Catumbi,Rio de Janeiro,centro
700,56,2,0,2,522,17,Piedade,Rio de Janeiro,norte
1800,80,3,1,2,1053,68,Méier,Rio de Janeiro,norte
900,56,2,0,1,550,59,Todos os Santos,Rio de Janeiro,norte
1300,47,2,0,1,300,0,Bonsucesso,Rio de Janeiro,norte
1400,93,3,0,4,250,110,Abolição,Rio de Janeiro,norte
900,50,2,0,1,170,0,Encantado,Rio de Janeiro,norte
850,35,1,0,1,0,5,Bento Ribeiro, Rio de Janeiro,norte
1100,65,2,1,2,680,65,Praça Seca,Rio de Janeiro,oeste
1350,32,1,0,1,600,0,Laranjeiras,Rio de Janeiro,sul
1300,100,3,0,1,0,46,Colégio,Rio de Janeiro,norte
770,50,1,1,1,0,0,Senador Vasconcelos,Rio de Janeiro,oeste
1000,75,2,0,1,150,0,Ramos,Rio de Janeiro,norte
2100,78,3,1,2,953,105,Vila Isabel,Rio de Janeiro,norte
3000,78,2,1,2,1300,190,Jacarepaguá,Rio de Janeiro,oeste
1400,70,2,1,2,200,0,Água Santa,Rio de Janeiro,norte
2300,98,3,3,2,1690,260,Barra da Tijuca,Rio de Janeiro,oeste
6500,65,2,1,2,1065,154,Botafogo,Rio de Janeiro,sul
1400,70,2,1,2,200,0,Água Santa,Rio de Janeiro,norte
1050,55,2,0,1,11,11,Piedade,Rio de Janeiro,norte
900,76,2,1,1,160,0,Parada de Lucas,Rio de Janeiro,norte
700,50,2,0,2,0,0,Inhaúma,Rio de Janeiro,norte
1800,80,2,1,2,800,130,Andaraí, Rio de Janeiro,norte
1000,10,2,0,1,0,0,Taquara,Rio de Janeiro,oeste
1300,86,2,1,1,965,158,Freguesia de Jacarepaguá, Rio de Janeiro,oeste
800,55,1,0,1,225,0,Engenho De Dentro,Rio de Janeiro,norte
750,26,1,0,1,384,0,Centro,Rio de Janeiro,centro
1180,85,2,0,1,0,30,Cascadura,Rio de Janeiro,norte
800,47,2,1,1,306,0,Honório Gurgel,Rio de Janeiro,norte
1300,58,1,0,1,325,76,Andaraí,Rio de Janeiro,norte
800,56,2,1,2,304,0,Santa Cruz,Rio de Janeiro,oeste
1300,49,2,1,1,550,550,Rocha,Rio de Janeiro,norte
700,100,2,0,2,475,0,Penha Circular,Rio de Janeiro,norte
1290,60,2,0,1,0,39,Andaraí,Rio de Janeiro,norte
1500,79,2,1,2,650,85,Méier,Rio de Janeiro,norte
1350,45,2,1,2,585,471,Maria da Graça,Rio de Janeiro,norte
900,63,2,1,2,580,0,Sampaio,Rio de Janeiro,norte
1800,100,3,1,3,837,66,Praça da Bandeira,Rio de Janeiro,norte
650,40,1,0,1,0,0,Tomás Coelho,Rio de Janeiro,norte
878,40,2,0,1,307,1,Cascadura,Rio de Janeiro,norte
4000,96,3,0,3,1261,338,Copacabana,Rio de Janeiro,sul
1000,44,2,0,1,280,0,Catumbi,Rio de Janeiro,centro
1600,50,1,1,1,300,80,Vargem Pequena,Rio de Janeiro,oeste
5900,180,4,2,3,600,120,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1100,60,2,0,1,0,0,Bonsucesso,Rio de Janeiro,norte
2650,72,2,2,3,751,112,Grajaú,Rio de Janeiro,norte
800,49,2,1,1,383,0,Parada de Lucas,Rio de Janeiro,norte
900,45,2,0,1,300,0,Campo Grande,Rio de Janeiro,oeste
2400,110,3,1,1,2000,280,Botafogo,Rio de Janeiro,sul
5000,400,4,2,3,0,0,Jacarepaguá,Rio de Janeiro,oeste
850,40,1,0,1,500,0,Vila Isabel,Rio de Janeiro,norte
1100,79,3,0,2,400,62,Engenho De Dentro,Rio de Janeiro,norte
900,50,1,0,1,300,0,Todos os Santos,Rio de Janeiro,norte
1300,71,2,1,2,710,760,Vila Isabel,Rio de Janeiro,norte
800,75,2,1,1,300,0,Oswaldo Cruz,Rio de Janeiro,norte
800,46,2,1,1,505,0,Engenho Novo,Rio de Janeiro,norte
7000,380,4,2,6,1180,454,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1200,70,3,0,2,200,0,Engenho Novo,Rio de Janeiro,norte
900,71,2,1,2,450,0,Engenho Novo,Rio de Janeiro,norte
1000,75,2,1,2,100,549,Piedade,Rio de Janeiro,norte
1100,60,2,0,1,350,83,Penha,Rio de Janeiro,norte
1600,105,3,2,3,710,86,Vila Kosmos,Rio de Janeiro,norte
1400,43,1,0,1,260,0,Piedade,Rio de Janeiro,norte
550,42,2,1,1,270,0,Campo Grande,Rio de Janeiro,oeste
900,50,2,1,1,60,0,Campinho,Rio de Janeiro,norte
1800,110,3,5,2,0,883,Engenho Novo,Rio de Janeiro,norte
1920,82,2,1,1,850,1862,Jacarepaguá, Rio de Janeiro,oeste
1200,119,3,0,2,185,61,Lins de Vasconcelos,Rio de Janeiro,norte
1600,65,2,0,2,613,51,Andaraí,Rio de Janeiro,norte
600,45,2,0,1,0,0,Vigário Geral,Rio de Janeiro,norte
1000,65,2,0,2,573,0,Engenho Novo,Rio de Janeiro,norte
1190,50,2,0,2,0,0,Campinho,Rio de Janeiro,norte
1100,63,2,1,2,590,92,Taquara,Rio de Janeiro,oeste
1000,67,2,2,1,450,10,Quintino Bocaiuva,Rio de Janeiro,norte
1800,157,2,2,3,490,188,Vaz Lobo,Rio de Janeiro,norte
950,45,1,0,1,220,0,Taquara,Rio de Janeiro,oeste
1000,60,2,0,2,587,61,Méier,Rio de Janeiro,norte
1500,55,2,1,1,100,0,Cidade De Deus, Rio de Janeiro,oeste
900,73,2,1,1,836,61,Engenho De Dentro,Rio de Janeiro,norte
5850,100,2,1,2,1504,497,Jardim Botânico,Rio de Janeiro,sul
4000,83,2,0,3,1320,497,Copacabana,Rio de Janeiro,sul
1200,58,2,2,1,250,0,Campo Grande,Rio de Janeiro,oeste
